DATE,count,Temperature,Visibility,cloud,humidity,Conditions,DJI,Precipitation,Snow,snow_depth,wind_speed,DAY_OF_WEEK,WEEKEND,DAY_OF_MONTH,YEAR,MONTH,UNEMPLOY_RATE,fed_holiday,gov_holiday,nonpub_holiday,reg_holiday,race_label,BCG,BSX,EIX,JHI,MPGSX,STT,TJX,TMO,UNEMPLOY_RATE_7,JHI_7,MPGSX_7,TJX_7,TMO_7,BSX_7,EIX_7,STT_7,BCG_7,count_lag,Temperature_lag,DJI_lag,UNEMPLOY_RATE_lag,Conditions_lag,Precipitation_lag,Snow_lag,JHI_lag,MPGSX_lag,TJX_lag,TMO_lag,JHI_7_lag,MPGSX_7_lag,TJX_7_lag,TMO_7_lag,BCG_7_lag,t
2021-04-11,4,48.9,9.5,82.3,80.05,Overcast,33745.4,0.0,0.0,0.0,19.3,7,1,11,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,15300.0,39.34000015258789,58.46828079223633,17.341110229492188,14.470000267028809,85.8111343383789,68.76010131835938,475.3013610839844,5.400000000000004,17.287343978881836,14.319999967302595,67.92080688476562,471.1644069126674,39.08000019618443,58.58413587297712,84.59132385253906,14914.285714285714,10.0,52.3,33503.57,5.4,Partially cloudy,0.0,0.0,17.369335174560547,14.329999923706055,68.27545928955078,470.8377380371094,17.234921864100865,14.1885712487357,67.18466077532086,466.21861485072543,14842.857142857143,929
2021-04-12,6,46.6,8.7,94.7,77.65,Overcast,33745.4,0.0,0.0,0.0,22.9,1,0,12,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,15300.0,39.34000015258789,58.46828079223633,17.341110229492188,14.470000267028809,85.8111343383789,68.76010131835938,475.3013610839844,5.400000000000004,17.30750628880092,14.364285741533552,68.16948590959821,472.6751055036272,39.12285723005022,58.58832277570452,84.8070820399693,14964.285714285714,9.0,51.7,33800.6,5.4,Partially cloudy,0.0,0.0,17.284656524658203,14.460000038146973,68.69086456298828,478.1972351074219,17.247019359043666,14.23142841884068,67.42344883510044,468.1430097307478,14814.285714285714,930
2021-04-13,14,50.3,9.9,76.6,61.98,Overcast,33677.27,0.0,0.0,0.0,18.2,2,0,13,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14900.0,39.40999984741211,58.98612976074219,17.397563934326172,14.600000381469727,84.64631652832031,67.7116928100586,484.1587219238281,5.400000000000004,17.33573341369629,14.428571564810616,68.28534807477679,474.9732578822545,39.188571384974885,58.60925946916853,84.91566467285156,14985.714285714286,4.0,60.5,33745.4,5.4,Partially cloudy,0.0,0.0,17.341110229492188,14.470000267028809,68.76010131835938,475.3013610839844,17.267181668962753,14.275714193071638,67.67212785993304,469.6537083217076,14864.285714285714,931
2021-04-14,8,48.7,9.9,61.5,68.14,Partially cloudy,33730.89,0.0,0.0,0.0,15.9,3,0,14,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14750.0,39.66999816894531,59.65054702758789,17.397563934326172,14.449999809265137,85.56434631347656,67.86005401611328,477.3584289550781,5.400000000000004,17.353207179478236,14.464285850524902,68.40262494768415,476.63660103934154,39.30571419852121,58.761404854910715,85.18924059186664,15007.142857142857,4.0,48.9,33745.4,5.4,Overcast,0.0,0.0,17.341110229492188,14.470000267028809,68.76010131835938,475.3013610839844,17.287343978881836,14.319999967302595,67.92080688476562,471.1644069126674,14914.285714285714,932
2021-04-15,5,47.5,9.4,95.3,70.52,"Rain, Overcast",34035.99,0.15,0.0,0.0,19.3,4,0,15,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14350.0,40.86000061035156,60.0316047668457,17.45401954650879,14.710000038146973,85.39653778076172,68.48316192626953,493.67510986328125,5.400000000000004,17.365304946899414,14.51857158115932,68.43229675292969,479.89908272879467,39.61142839704241,58.91634041922433,85.48537881033761,14950.0,6.0,46.6,33745.4,5.4,Overcast,0.0,0.0,17.341110229492188,14.470000267028809,68.76010131835938,475.3013610839844,17.30750628880092,14.364285741533552,68.16948590959821,472.6751055036272,14964.285714285714,933
2021-04-16,4,41.0,3.9,99.7,88.19,"Rain, Overcast",34200.67,1.67,0.0,0.0,29.8,5,0,16,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,13700.0,40.90999984741211,59.95343780517578,17.331701278686523,14.739999771118164,79.3947982788086,69.22496795654297,492.21722412109375,5.400000000000004,17.372025626046316,14.558571543012347,68.50859723772321,481.90193830217635,39.83857127598354,59.14665167672293,84.63362884521484,14800.0,14.0,50.3,33677.27,5.4,Overcast,0.0,0.0,17.397563934326172,14.600000381469727,67.7116928100586,484.1587219238281,17.33573341369629,14.428571564810616,68.28534807477679,474.9732578822545,14985.714285714286,934
2021-04-17,3,43.5,8.5,99.5,71.66,"Rain, Overcast",34077.63,0.09,0.0,0.0,18.1,6,1,17,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,13800.0,40.880001068115234,59.71894073486328,16.992971420288086,14.619999885559082,79.848876953125,68.24578094482422,486.9447326660156,5.400000000000004,17.32229151044573,14.580000059945244,68.43512289864677,483.5652770996094,40.05857140677316,59.3253173828125,83.78187779017857,14585.714285714286,8.0,48.7,33730.89,5.4,Partially cloudy,0.0,0.0,17.397563934326172,14.449999809265137,67.86005401611328,477.3584289550781,17.353207179478236,14.464285850524902,68.40262494768415,476.63660103934154,15007.142857142857,935
2021-04-18,17,51.7,9.9,86.3,55.23,Overcast,34077.63,0.0,0.0,0.0,15.9,7,1,18,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,13800.0,40.880001068115234,59.71894073486328,16.992971420288086,14.619999885559082,79.848876953125,68.24578094482422,486.9447326660156,5.400000000000004,17.272557394845144,14.601428576878138,68.36164855957031,485.2286158970424,40.278571537562776,59.50398308890207,82.9301267351423,14371.42857142857,5.0,47.5,34035.99,5.4,"Rain, Overcast",0.15,0.0,17.45401954650879,14.710000038146973,68.48316192626953,493.67510986328125,17.365304946899414,14.51857158115932,68.43229675292969,479.89908272879467,14950.0,936
2021-04-19,13,55.3,9.9,60.9,58.75,"Rain, Partially cloudy",34077.63,0.01,0.0,0.0,17.9,1,0,19,2021,4,5.4,0.0,1.0,0.0,0.0,ASSAULT,13800.0,40.880001068115234,59.71894073486328,16.992971420288086,14.619999885559082,79.848876953125,68.24578094482422,486.9447326660156,5.400000000000004,17.222823279244558,14.622857093811035,68.28817422049386,486.89195469447543,40.4985716683524,59.68264879499163,82.07837568010602,14157.142857142857,4.0,41.0,34200.67,5.4,"Rain, Overcast",1.67,0.0,17.331701278686523,14.739999771118164,69.22496795654297,492.21722412109375,17.372025626046316,14.558571543012347,68.50859723772321,481.90193830217635,14800.0,937
2021-04-20,7,62.9,9.9,49.6,44.38,Partially cloudy,33821.3,0.0,0.0,0.0,21.7,2,0,20,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,13800.0,41.130001068115234,60.109771728515625,17.087060928344727,14.520000457763672,77.58834838867188,67.00945281982422,481.6722717285156,5.400000000000004,17.178465706961497,14.611428533281599,68.18785422188895,486.53674752371654,40.74428612845285,59.84316907610212,81.07009451729911,14000.0,3.0,43.5,34077.63,5.4,"Rain, Overcast",0.09,0.0,16.992971420288086,14.619999885559082,68.24578094482422,486.9447326660156,17.32229151044573,14.580000059945244,68.43512289864677,483.5652770996094,14585.714285714286,938
